origin,destination,departure_date,flight_route_number,customer
PHX,STL,5/30/2016,281,0
DAL,ABQ,5/19/2016,42,0
OAK,SAN,5/9/2016,18,0
SAN,BNA,5/28/2016,585,0
SJC,SAN,5/11/2016,527,0
MDW,FLL,5/26/2016,416,0
DTW,STL,5/1/2016,368,0
PHX,OAK,5/13/2016,185,0
BWI,CHS,5/13/2016,347,0
HOU,MSY,5/12/2016,251,3
FNT,MDW,5/26/2016,243,3
SEA,OAK,5/24/2016,179,3
SAN,TUS,5/21/2016,50,3
OAK,DEN,5/6/2016,255,3
LAX,STL,5/22/2016,160,3
MCI,LAS,5/8/2016,206,3
LAX,HOU,5/2/2016,527,4
STL,OMA,5/24/2016,326,4
DEN,TUL,5/5/2016,459,4
OAK,ONT,5/28/2016,488,4
LAS,BHM,5/8/2016,264,4
DEN,MSP,5/26/2016,276,4
OAK,SAN,5/16/2016,386,4
HOU,BOS,5/5/2016,305,5
DAL,MSY,5/3/2016,1,5
DAL,OKC,5/13/2016,5,5
LAX,MKE,5/31/2016,162,5
MSP,PHX,5/25/2016,430,5
JAX,HOU,5/7/2016,425,5
HOU,DAL,5/25/2016,6,6
BHM,MCO,5/28/2016,430,6
OAK,MDW,5/19/2016,491,6
ATL,IND,5/1/2016,628,6
MDW,CMH,5/24/2016,218,6
MDW,DCA,5/3/2016,431,6
STL,PHX,5/2/2016,78,6
BWI,BOS,5/4/2016,561,6
ALB,FLL,5/4/2016,314,6
MHT,BWI,5/11/2016,424,6
OAK,BUR,5/1/2016,388,6
ATL,GSP,5/8/2016,37,6
RDU,MCO,5/2/2016,408,6
MDW,BNA,5/1/2016,248,6
PHX,SMF,5/27/2016,338,7
FNT,MDW,5/10/2016,133,7
FLL,LAS,5/21/2016,616,7
MCI,BWI,5/17/2016,419,7
MCI,BWI,5/27/2016,206,7
MCI,MDW,5/18/2016,113,8
STL,TPA,5/17/2016,24,8
MSY,ATL,5/8/2016,436,8
SEA,OAK,5/31/2016,197,8
DEN,LAS,5/16/2016,432,8
PHX,AUS,5/19/2016,281,8
ONT,SMF,5/22/2016,446,8
DEN,LAX,5/16/2016,203,8
BHM,MDW,5/24/2016,131,8
DAL,LAS,5/16/2016,454,9
BWI,MSP,5/3/2016,429,9
OAK,DEN,5/4/2016,578,9
SEA,OAK,5/22/2016,13,9
BUR,SMF,5/10/2016,458,10
BUF,BWI,5/30/2016,347,10
ALB,BWI,5/5/2016,167,10
RDU,BWI,5/25/2016,363,10
ATL,RIC,5/4/2016,518,10
SJC,DAL,5/4/2016,253,12
BWI,BUF,5/2/2016,127,12
ABQ,DAL,5/12/2016,39,12
